Fecha;year;month;day;day_name;Veh;Linea;Descripcion;Correccion;Sistema;Retraso_minutos;Causó_desalojo;Porcentaje_desalojo;Supervisor_reviso;Cat;Fiabilidad_Servicio
2016-02-02;2016;2;2;Tuesday;1;1;5a puerta lado izquierdo no abre;tornillo flojo del centrado;puertas;1.0;0;0.0;740;3;0
2016-02-20;2016;2;20;Saturday;1;1;se repliega el pantografo;se reseteo el cea;convertidor de auxiliares;4.0;1;50.0;1319;1;1
2016-02-24;2016;2;24;Wednesday;1;1;fallas de regenerativo;se resetea cea;convertidor de auxiliares;5.0;1;20.0;1319;1;1
2016-04-17;2016;4;17;Sunday;1;1;no abrio puertas m2 lderecho;se cambio relevador;puertas;0.0;1;80.0;289;2;1
2016-04-25;2016;4;25;Monday;1;1;falla de cet;falla en conmutacion de ondulador;convertidor de traccion;7.5;0;0.0;1319;1;1
2016-05-27;2016;5;27;Friday;1;1;falla de compresor;se cambia valvula de descarga;compresor de aire;0.0;0;0.0;289;3;0
2016-06-14;2016;6;14;Tuesday;1;1;pantografo se repliega;se repara valvula de clapeta;pantografo;3.0;1;80.0;289;3;1
2016-06-18;2016;6;18;Saturday;1;1;no tiene mantenimiento de puertas;se levanto y se ajusto segunda puerta izq;puertas;4.0;1;40.0;740;3;1
2016-08-20;2016;8;20;Saturday;1;1;se apaga alumbrado de usuarios;se cambia rele de alumbrado;interiores de vehiculo;0.0;0;0.0;289;2;0
2016-11-26;2016;11;26;Saturday;1;1;lampara ind de puertas izq enciende en ocasiones con kp en derechas;diferencia de diametro en ruedas se separo de tripleta;acoplador;0.0;0;0.0;1285;3;0
2016-12-20;2016;12;20;Tuesday;1;1;puerta 3 izq no cierra;se remacha guia de puerta;puertas;6.0;1;50.0;289;3;1
2017-04-20;2017;4;20;Thursday;1;1;tironeos a la traccion vehs 010348;no se encontro falla;convertidor de traccion;5.4;1;50.0;1319;1;1
2017-06-08;2017;6;8;Thursday;1;1;falla en ventiladores de equipo ;se resetea termico de cap;interruptores temomagneticos;7.0;1;40.0;915;1;1
2017-06-13;2017;6;13;Tuesday;1;1;clima de cabina tura agua sobre el asiento de conductor;en revision;aire acondicionado;0.0;0;0.0;3179;4;0
2017-09-11;2017;9;11;Monday;1;1;pantografo replegado;se resetea cea;convertidor de auxiliares;9.0;1;65.0;1319;1;1
